TOPIC,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2001,25,11.9,0.5,10.9,13,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2002,26,12.7,0.6,11.5,13.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2003,27,11,0.5,10,12.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2004,28,10.5,0.5,9.5,11.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2005,29,8.9,0.5,8,9.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2006,30,8.6,0.5,7.7,9.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2007,31,10.2,0.5,9.2,11.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2008,32,9.6,0.5,8.6,10.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2009,33,9.6,0.5,8.7,10.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2010,34,8.3,0.5,7.4,9.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2011,35,7.7,0.4,6.9,8.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2012,36,8.5,0.5,7.6,9.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2013,37,7.8,0.4,7,8.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2014,38,8,0.5,7.1,8.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2015,39,7.3,0.4,6.5,8.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2016,40,7.4,0.4,6.6,8.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2017,41,7.7,0.4,6.8,8.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2018,42,7.5,0.4,6.6,8.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2019,43,7.1,0.4,6.2,7.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2020,44,6.5,0.4,5.7,7.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2021,45,7.4,0.5,6.5,8.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,Younger than 1 year,2.11,2,"Deaths per 100,000 resident population, crude",2,2022,46,6.5,0.4,5.7,7.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,1999,23,1.2,0.1,1,1.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2000,24,1.2,0.1,1,1.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2001,25,1.5,0.1,1.3,1.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2002,26,1.1,0.1,0.9,1.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2003,27,1.2,0.1,1,1.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2004,28,1.2,0.1,1,1.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2005,29,0.9,0.1,0.8,1.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2006,30,1,0.1,0.9,1.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2007,31,1.1,0.1,0.9,1.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2008,32,1.2,0.1,1,1.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2009,33,0.9,0.1,0.8,1.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2010,34,1,0.1,0.8,1.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2011,35,1,0.1,0.9,1.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2012,36,1,0.1,0.8,1.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2013,37,1.1,0.1,0.9,1.2,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2014,38,0.9,0.1,0.8,1.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2015,39,0.9,0.1,0.8,1.1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2016,40,0.7,0.1,0.6,0.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2017,41,0.8,0.1,0.7,0.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2018,42,0.7,0.1,0.6,0.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2019,43,0.8,0.1,0.7,1,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2020,44,0.7,0.1,0.6,0.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2021,45,0.8,0.1,0.6,0.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,1-4 years,2.12,3,"Deaths per 100,000 resident population, crude",2,2022,46,0.7,0.1,0.6,0.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,1999,23,0.7,0,0.6,0.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2000,24,0.7,0,0.6,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2001,25,0.7,0,0.6,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2002,26,0.6,0,0.5,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2003,27,0.6,0,0.6,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2004,28,0.6,0,0.5,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2005,29,0.6,0,0.5,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2006,30,0.6,0,0.5,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2007,31,0.6,0,0.5,0.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2008,32,0.6,0,0.5,0.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2009,33,0.5,0,0.5,0.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2010,34,0.5,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2011,35,0.5,0,0.4,0.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2012,36,0.4,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2013,37,0.4,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2014,38,0.5,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2015,39,0.5,0,0.4,0.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2016,40,0.5,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2017,41,0.4,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2018,42,0.4,0,0.3,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2019,43,0.4,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2020,44,0.4,0,0.3,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2021,45,0.5,0,0.4,0.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,5-14 years,2.13,4,"Deaths per 100,000 resident population, crude",2,2022,46,0.5,0,0.5,0.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,1999,23,2.8,0.1,2.6,2.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2000,24,2.6,0.1,2.5,2.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2001,25,2.5,0.1,2.3,2.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2002,26,2.5,0.1,2.3,2.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2003,27,2.7,0.1,2.6,2.9,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2004,28,2.5,0.1,2.3,2.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2005,29,2.6,0.1,2.5,2.8,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2006,30,2.5,0.1,2.4,2.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2007,31,2.5,0.1,2.4,2.7,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2008,32,2.5,0.1,2.3,2.6,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2009,33,2.4,0.1,2.2,2.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2010,34,2.4,0.1,2.2,2.5,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2011,35,2.3,0.1,2.1,2.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2012,36,2.2,0.1,2,2.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2013,37,2.1,0.1,2,2.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2014,38,2.2,0.1,2,2.3,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2015,39,2.3,0.1,2.1,2.4,,"FN0160,NT0084,SC0001"
Death rates for heart disease,Demographic Characteristic,1,Age group,1,2,15-24 years,2.14,5,"Deaths per 100,000 resident population, crude",2,2016,40,2.2,0.1,2,2.3,,"FN0160,NT0084,SC0001"
